Id,Text,Sentiment,Created
4818,"Kudos to the developer for this nice codesnippet. ",3,2019-12-23 11:36:25.460
4817,This is not DevExpress Quality and very disappointing.,1,2019-12-12 19:22:36.400
4816,Which is very frustrating to say the least.,1,2019-12-12 19:21:57.110
4815,"The support is good and the knowledge base, examples and API documentation provide alot of info to be able to implement the components.",3,2019-12-12 19:18:49.070
4814," maintenance: complexity and behavior changes between versions have given us already a few painful moments trying to understand why suddenly, after an upgrade, something doesn't work any more.",1,2019-12-12 19:17:50.603
4813,So many properties for each component make the usage of the toolbox a nightmare.,1,2019-12-12 19:17:34.407
4812,"your support is fantastic: the best I ever saw in the IT industry, fast and accurate.",4,2019-12-12 19:17:20.903
4811,too hard to customize,1,2019-12-12 19:17:07.360
4810,It takes too much time to scroll through looking for information while in the development process.,1,2019-12-12 19:16:55.493
4809,"We've been caught multiple times with a working app that we could not upgrade to a more current version of DevExpress controls due to deprecation of features or technology, in many cases for no apparent good reason. ",1,2019-12-12 19:16:30.047
4808,I really do but ye gads the documentation is horrible.,1,2019-12-12 19:12:07.997
4807,I don't feel like an appreciated customer.,1,2019-12-12 19:11:48.570
4806,"In the beginning DevEpress had great support fe I asked something got an answer in a few hours, now I ask something then a day later I get no answer but a question, then a some kind of answer after a few days in this answer a question how I did a search. ",1,2019-12-12 19:11:11.213
4805,Cxgrid is too much and too complex.,1,2019-12-12 19:10:48.883
4804,It costs a lot of precious time to get a problem solved.,1,2019-12-12 19:10:38.270
4803,"What makes DevExpress' online support a mess is the fact that you have to dig through a bunch of tickets that are most likely being outdated. ",1,2019-12-12 19:10:27.533
4802,Thank you for being awesome!,4,2019-12-12 19:09:17.803
4801,Very good online service,3,2019-12-12 19:09:05.547
4800,Its a mess,1,2019-12-12 19:08:18.130
4799,"Devexpress has become very complicated. ",1,2019-12-12 19:07:59.853
4798,Bad technical support,1,2019-12-12 19:06:59.760
4797," This issue is running me crazy for two weeks now. ",1,2019-12-12 19:06:24.043
4796,"too buggy, too frequent updates, in many cases ridiculously complex for everydays tasks",1,2019-12-12 19:05:52.203
4795,The best Choice to legally use for building database connection on high level.,4,2019-12-12 19:04:18.643
4794,it's the best,3,2019-12-12 19:03:58.127
4793,Good customer service feedback.,3,2019-12-12 19:03:47.873
4792,Extreamly good,3,2019-12-12 19:03:37.647
4791,"Professional Product, Professional Support and Professional output.",3,2019-12-12 19:03:22.980
4790,"The product is always top class, and the support is second to none.",4,2019-12-12 19:01:12.773
4789,"	
I find Devexpress Great!",3,2019-12-12 19:00:21.480
4788,Keep doing the best thing for programmers.,3,2019-12-12 18:59:42.987
4787,You are Awesome!!!,4,2019-12-12 18:59:26.437
4786,Awesome!!,3,2019-12-12 18:59:11.723
4785,I wanna make a renew in future due excellent support.,3,2019-12-12 18:59:00.617
4784,"Amazing tools with amazing support. ",4,2019-12-12 18:58:44.223
4783,Devxpress is always doing great...,3,2019-12-12 18:55:23.673
4782,Your components are really fantastic and fundamental for developers.,4,2019-12-12 18:55:06.957
4781,The Best plugin to Visual Studio.,4,2019-12-12 18:54:51.703
4780,"I have loved Dev Express since I first used it in 2012. ",3,2019-12-12 18:53:57.870
4779,Very Happy Customer,3,2019-12-12 18:53:02.930
4778,"The XAF framework is VERY powerful and is extendable! ",3,2019-12-12 18:52:50.547
4777,I love DevExpress!,3,2019-12-12 18:52:15.093
4776,All is perfect!,3,2019-12-12 18:51:16.203
4775,"Great products and support. ",3,2019-12-12 18:51:02.937
4774,"I LOVE the controls. ",3,2019-12-12 18:49:30.210
4773,"Good and informative news through newsletters and emails, keep it up!",3,2019-12-12 18:48:57.483
4772,The documentation is really bad for someone that know nothings about DevExpress.,1,2019-12-12 18:45:20.123
4771,High quality must have components.,3,2019-12-11 18:58:40.133
4770,excellent ASP.NET componenets.,4,2019-12-11 18:58:21.253
4769,"You're just the best of the best, my friends!",4,2019-12-11 18:58:11.877
4768,I Always suggest to my clients to use DevExpress Controls!,3,2019-12-11 18:57:38.133
4767,"I've been worked with DevExpress Controls for almost 10 years and I'm a big fan of them! ",3,2019-12-11 18:57:30.780
4766,"Great Tools!

",3,2019-12-11 18:57:20.903
4765,Continue your work as you did over the last 20 years.,3,2019-12-11 18:57:03.780
4764,Very useful software.,3,2019-12-11 18:56:53.027
4763,You guys are freaking awesome,4,2019-12-11 18:56:39.790
4762,I like how fast fixes come out.,3,2019-12-11 18:56:30.317
4761,"Really great customer service, helped with everything I needed",3,2019-12-11 18:56:15.110
4760,My web developer appears to be very happy with DevExpress,3,2019-12-11 18:55:31.610
4759,Great components to work with and really like you still support WinForms controls as they are what I use mostly for my personal stuff.,3,2019-12-11 18:55:21.780
4758,DevExpress has never failed to deliver amazing technical support.,4,2019-12-11 18:55:01.237
4757,"hands down best controls, I had to eval all suites in 2008, no comparison to other suites, devx blew them all away. ",4,2019-12-11 18:54:40.587
4756,"And what is most important to me , I achieve what I plan - no strange effects , predicive behavior in my projects.",3,2019-12-11 18:54:18.043
4755,"It doubles my working speed.
",3,2019-12-11 18:54:08.583
4754,"Great documentation.
",3,2019-12-11 18:54:00.920
4753,"Great support.
",3,2019-12-11 18:53:53.923
4752,"Great product.
",3,2019-12-11 18:53:45.843
4751,i`m a long term fan of DevExpress and spreading the word ...,3,2019-12-11 18:53:12.257
4750,"Excellent product and great support! ",4,2019-12-11 18:52:59.127
4749,Best products I have used for a decade,4,2019-12-11 18:52:48.097
4748,"Excellent product ",3,2019-12-11 18:52:40.080
4747,DevExpress has saved me more time that I could ever have imagined.,3,2019-12-11 18:52:20.310
4746,This a awesome software!!,4,2019-12-11 18:52:03.597
4745,You have great products!,3,2019-12-11 18:51:25.837
4744,Thanks for creating such masterpieces.,3,2019-12-11 18:51:16.347
4743,"Highly recommended. ",3,2019-12-11 18:51:10.533
4742,"DevExpress is no doubt one of the Top 3 finest companies I ever had the pleasure to work with. ",3,2019-12-11 18:51:02.100
4741,"Excellent components, fast and reliable support desk, everything is just right. ",3,2019-12-11 18:50:52.003
4740,"Exceptional high quality, in every way. ",3,2019-12-11 18:50:43.837
4739,Thank you for great software!,3,2019-12-11 18:49:58.963
4738,"Super useful assistance.  ",3,2019-12-11 18:49:46.823
4737,Absolutely wonderful!,4,2019-12-11 18:49:22.423
4736,"powerful, effective and very useful tools, constantly updated, the value for money is more than positive, thanks",3,2019-12-11 18:49:13.740
4735,"So far so good, very impressed with what I have used so far , thanks for the support and customer service.",4,2019-12-11 18:48:00.693
4734,simply the best,4,2019-12-11 18:47:19.193
4733,Great components and helpful support!,3,2019-12-11 18:47:06.063
4732," They provide not only top-notch quality software solutions but top-notch support as well. ",3,2019-12-11 18:43:07.553
4731,"DevExpress is one of those companies you want to do business with. ",3,2019-12-11 18:43:03.597
4730,Keep up the good work and deliver robust software,3,2019-12-11 18:42:37.907
4729,"I am very pleased. ",3,2019-12-11 18:42:26.407
4728,Excellent Products!!!,4,2019-12-11 18:42:09.327
4727,"simply the best, I love your components !",4,2019-12-11 18:41:53.877
4726,Kudo's to your great team and great support - despite my many often silly questions!,3,2019-12-11 18:41:42.790
4725,"The days and weeks that I saved using your tools more then offsets the cost and allows me to create projects in days or weeks instead of months.  ",3,2019-12-11 18:41:36.773
4724,"Having worked with many toolsets, I believe yours is the most intuitive and useful I have come across.",3,2019-12-11 18:41:15.207
4723,It helps me so much while developing,3,2019-12-11 18:40:34.370
4722,"I'm really satisfied with your product. ",3,2019-12-11 18:40:25.127
4721,"It is also hard to find answers in tickets raised by people because many of them are already outdated. ",1,2019-12-11 18:39:47.290
4720,"Some controls are hard to use (e.g. xtra reports) and the documentation online is too limited. ",1,2019-12-11 18:39:34.563
4719,"If DevExpress don't change, his end is near.",0,2019-12-11 18:39:09.423
4718,Your controls are obsolete and the support team don't give you the solution.,1,2019-12-11 18:38:58.457
4717,"not fond of your components ",1,2019-12-11 18:38:38.257
4716,"But recent versions have substantially slowed down specifically grid based items.    ",1,2019-12-11 18:38:08.290
4715,"Getting too heavy and slow.  ",1,2019-12-11 18:37:56.830
4714,"I'm sorry (I respect your hard work), but I don't like it.",1,2019-12-11 18:37:43.747
4713,Writing application with DevExpress is jump back in nineties.,1,2019-12-11 18:37:30.973
4712,Not better of many free/open source libraries for more modern framework like Angular or React.,1,2019-12-11 18:37:21.137
4711,"Given the cost, it is not customizable as desirable. ",1,2019-12-11 18:37:04.517
4710,Writing application with DevExpress is jump back in nineties.,1,2019-12-11 18:36:50.513
4709,Non existent customer support.,1,2019-12-11 18:36:05.003
4708,"Slows my computer, slows down my applications.",1,2019-12-11 18:35:33.833
4707,"Feel free to contact me as we have not given up on your product, but we are certainly disappointed with the learning curve. ",1,2019-12-11 18:35:13.210
4706,"My challenge on your HTML5 / JS / React library is that you don't have COMPLETE examples and your support is minimized to ""Take a look at this demo"" which has failed us.",1,2019-12-11 18:34:53.747
4705,"I feel disturbed, whether through email or advertisements",1,2019-12-11 18:34:31.870
4704,Waste product,1,2019-12-11 18:34:14.713
4703,Keep up the good work and especially the good documentation.,3,2019-12-11 18:33:32.137
4702,Excellent team.,4,2019-12-11 18:33:16.637
4701,"Excellent support.
",4,2019-12-11 18:33:12.607
4700,"	
Excellent products.
",4,2019-12-11 18:33:05.837
4699,Great products and great support service,4,2019-12-11 18:32:51.777
4698,"	
You are the best, yes the best!",4,2019-12-11 18:32:39.793
4697,"DevExpress = Quality. ",3,2019-12-11 18:32:25.123
4696,"I think your support is amazing, very happy with your products. ",3,2019-12-11 18:32:16.193
4694,"The support that I have received from your team has been amazing. ",4,2019-12-11 18:31:35.293
4693,"I look forward to your future enhancements, including async updates for the dashboard on WinForms.",3,2019-12-11 18:31:21.860
4692,"You have literally made my business possible! ",3,2019-12-11 18:31:09.093
4691,"I have had nothing but a superlative experience with you folks, and I couldn't be happier with your product and support.",4,2019-12-11 18:29:57.913
4690,"	
Thank you for a great product and customer service.",3,2019-12-11 18:29:45.803
4689,Thank you for making a good product.,3,2019-12-11 18:29:37.450
4688,"An effective, easy to maintain product with good support from support team. ",3,2019-12-11 18:29:26.607
4687,"	
Great fast helpful support as always.",3,2019-12-11 18:29:16.187
4686,it is a great help and very powerful,3,2019-12-11 18:29:07.340
4685,I think you have a solid product and a very good support in place keep it going.,3,2019-12-11 18:28:54.640
4684,I am extremely happy that you have a product like XAF framework.,3,2019-12-11 18:28:43.330
4683,I always recommend your line of products to any firm where I am going.,3,2019-12-11 18:28:32.330
4682,Keep up the great work and webinars!,3,2019-12-11 18:28:16.190
4681,"The support I received is fantastic, but the complex of the product is overwhelming, probably just me",3,2019-12-11 18:28:08.493
4680,The best range of components available.,3,2019-12-11 18:27:48.483
4679," Only one suggestion, its vey hard to learn  your controls thoroughly, basic usage of the controls are easy, but to deliver special requirements its really hard to find proper properties/events/ways. ",1,2019-12-11 18:27:35.427
4678,You are doing a fantastitic work,4,2019-12-11 18:26:52.680
4677,"	
allmost perfect, very powerfull.",3,2019-12-11 18:26:31.077
4676,"You have some of the best components for Delphi, used throughout our applications, e.g. AlignMix with 5000+ users https://www.alignmix.com",3,2019-12-11 18:26:15.107
4675,Keep up the good work!,3,2019-12-11 18:26:10.330
4674,"I love all your products, I have not updated to new versions because the situation in Venezuela is extremely complicated at the moment, but surely I will do it later.",3,2019-12-11 18:25:54.483
4673,Thank you very much for your excellent program.,3,2019-12-11 18:25:32.323
4672,Great components and award winning support,4,2019-12-11 18:25:23.317
4671,Keep on making a great product even better.,3,2019-12-11 18:25:13.890
4670,"Clean code
",3,2019-12-11 18:24:58.833
4669,You did great job !!!,4,2019-12-11 18:24:49.723
4668,Best controls in .NET,3,2019-12-11 18:24:36.403
4667,"Keep up the great work! ",3,2019-12-11 18:24:16.817
4666,"Two items that have really shined in my opinion is the attention to continuous releases (improving the product) and the great customer support interactions that I have had with the DevExpress team.  ",3,2019-12-11 18:24:12.613
4665,Have really enjoyed using DevExpress as part of our development platform.,3,2019-12-11 18:23:59.250
4664,The best components in the world!!!!,4,2019-12-11 18:23:43.273
4663,Renew price is almost like purchase price,1,2019-12-11 18:23:32.823
4662,"Because I was asking how to use your component within my software rather that a question about the component itself, I was told to look elsewhere.",1,2019-12-11 18:21:47.930
4661,"this tool is slow and very complexly  ",1,2019-12-11 18:21:36.780
4660,GridView controls have significant performance issues,1,2019-12-11 18:21:22.217
4659,"Just difficult to follow documentation, video tutorials are old and support tickets seems to be lacking. ",1,2019-12-11 18:21:09.767
4658,"Hello Stason, thank you for having taken a look. ",3,2019-12-11 18:20:02.197
4657,Its too much of my time wastage would you please clarify when it will going to be fixed?,1,2019-12-11 18:19:37.620
4656,"Its been long time more than of 6 months has been gone and I'm waiting for this bug to resolve but it seems even with launching of DevExpress version 19.2 my problem is still pending. ",1,2019-12-11 18:19:26.520
4655,you didn't resolved my issue its been long time still waiting waiting waiting…,1,2019-12-11 18:19:11.270
4654,"Yes, we love your reporting suite so much we dual boot to keep it…",3,2019-12-10 19:14:30.933
4653,I love your support from long ago that's why always try how to improve utilization of your nice controls with different way's.,3,2019-12-10 19:14:03.173
4652,Your words really hurt me,1,2019-12-10 19:13:23.823
4651,"Honestly, this answer is so kludgy that I'd rather put a Image tag after the SpinEdit control and handle the MouseDown event on it to insert null into the SpinEdit control.",1,2019-12-10 19:12:57.050
4650," If I wanted to write my own controls, I wouldn't pay for DevExpress.",1,2019-12-10 19:12:23.363
4649,"Gotta say, I'm none too pleased with this answer. ",1,2019-12-10 19:12:19.707
4648,I'm kind of shocked that you don't offer protection features in this tool.,1,2019-12-10 19:11:39.080
4647,Much appreciated.,3,2019-12-10 19:11:27.767
4646,Thank you for the detailed analysis.,3,2019-12-10 19:11:12.570
4645," I'm kind of unhappy now",1,2019-12-10 19:10:49.153
4644,Not happy.,1,2019-12-10 19:09:46.733
4643,"Instead, its like I have to play a guessing game to iterate to an answer.

",1,2019-12-10 19:09:42.230
4642,"No post seems to just give the answer. ",1,2019-12-10 19:09:34.783
4641,"With respect, its been 6 days since I originally posted this ticket. ",1,2019-12-10 19:09:24.440
4640,"Having to fight to install it makes me extremely leery of it.   ",1,2019-12-10 19:08:04.883
4639,@Stas when you know my code is wrong then why do not paste right code which i can use in my application.,1,2019-12-10 19:07:23.850
4638,"But I don't understand why you only sent me the video and not the snippet code you created to illustrates  the logic, to save a lot time for both",1,2019-12-10 19:07:02.290
4637,"I waited several months for the fix to be released, and today an update has been released, but the problem has not been fixed!",1,2019-12-10 19:05:03.507
4636,None of your replys answered my problem.,1,2019-12-10 19:04:38.513
4635,And how come you mvc demo has so much crap in the back in the behind code.,1,2019-12-10 19:04:19.323
4634,But you demo has so much crap behind code undernearth that manages the window wish is not even talked about in you demo on line explanation.,1,2019-12-10 19:04:12.997
4633,Which means you mvc crap stinks.,1,2019-12-10 19:03:53.807
4632,THE FACT IS THE VIDEOS AND REFERENCE ON UPDATE ARE LIKE 10 YEARS OLD .,0,2019-12-10 19:02:15.433
4631,THE FACT IS THE UPDATE BROKE THE MVC PROJECT AND INTRODUCED MANY PROBLEM,0,2019-12-10 19:02:07.177
4630,Am I going to have to spend another 4 gd days figuring this out.,1,2019-12-10 19:01:45.257
4629,SO WHY DOES AN UPGRADE CAUSE THE FORMER SETTING TO GO TO FKNG HELL.,0,2019-12-10 19:01:32.760
4628,ever since the upgrading of deveexpress I been getting the can not find this page when running the mvc project.,1,2019-12-10 19:01:09.313
4627,If I get this problem solved I am not updating again,1,2019-12-10 19:00:56.937
4626,I have now lost three days because of this problem.,1,2019-12-10 19:00:44.647
4625,I believe you did not answer my question or did not understand it.,1,2019-12-10 19:00:03.610
4624,"thaks to this ""problem"" none of my grid is working fine leading to a down time in the production of all my client.",1,2019-12-10 18:59:37.523
4623,Please provide an honest response so that we can at least save a few man-weeks of efforts if you're not going to fix the crash.,1,2019-12-10 18:59:06.593
4622,"It's been in the ""Reproduced"" state for more than 2.5 years now.",1,2019-12-10 18:58:51.000
4621,"Is there a chance this bug will ever be fixed? ",1,2019-12-10 18:58:39.607
4620,Many bugs have occurred since the update from 18.2.6 to 19.2.3.,1,2019-12-10 18:58:19.563
4619,"I'm quite surprise that this issue was reported by other users 3 years ago but never seems to be in a fixed list. ",1,2019-12-10 18:57:15.037
4618,I am getting desperate to load the dashboards in the best way otherwise I will have to abandon the functionality as not working.,1,2019-12-10 18:55:48.733
4617,It is not acceptable for me and my customers who informed me that one of important functionality just … disappear…,1,2019-12-10 18:54:38.097
4616," I think we can call you a saviour and start a religion ... ",3,2019-12-10 18:54:20.930
4615,it is sadly disappointing given how evolved most of your components are.,1,2019-12-10 18:54:01.573
4614,"Great news, you are the Best.",4,2019-12-10 18:53:11.890
4613,"This is really fantastic news for us (and more importantly our users  :-))   ",4,2019-12-10 18:53:01.287
4612,"I have been using you since 2013, either through my Employer’s subscription in the early days, or my own, and want to continue using you in the future.",3,2019-12-10 18:49:19.597
4611,"I have enjoyed the product you guy’s have created. ",3,2019-12-10 18:49:07.230
4610,At no time did I see the article you have provided a shortcut too.,1,2019-12-10 18:48:34.707
4609,I spent 1 hour and twenty 20 mins searching and reviewing articles before drafting the support ticket and during that time I reviewed at least twenty articles both on DevExpress and outside your site.,1,2019-12-10 18:47:11.787
4608,this is a real piss poor effort from DevExpress!,0,2019-12-10 18:45:43.687
4607,Well i must say that this is extremely disappointing.,0,2019-12-10 18:45:24.327
4606,"Guys, you realize i'm working more for you to find and fix your bugs than working for my own clients?!",1,2019-12-10 18:43:43.423
4605,Noting is helpful after investing 2 days approx.,1,2019-12-10 18:41:39.183
4604,Thanks for your fast response.,3,2019-12-10 18:41:10.193
4603,"Awesome work, Thanks for the above example. ",3,2019-12-10 18:40:40.980
4602,In future please find a support to eradicate these type of fixes.,1,2019-12-10 18:39:25.887
4601,more disappointed.,1,2019-12-10 18:38:10.347
4600,"Hi Paul V, you mentioned solution is not even match 1% of asked question?",1,2019-12-10 18:37:37.503
4599,"Its always been like this with the support, you just throw back generic answers instead of actually helping..",1,2019-12-10 18:34:21.913
4598," isnt it so much easier to be a little bit more explicit that just blowing us off to a help file that we already have? ",1,2019-12-10 18:34:07.910
4597,"DevExpress teaching someone how to drive their car
'Yeah, just get in the passenger seat and errr, drive'",1,2019-12-10 18:33:26.170
4596,"-- Sigh -- More time wasted time having to a) find why something isn't working, b) creating an example that you can use, 3) write a support ticket that you can understand. ",1,2019-12-10 18:31:11.293
4595,"Your insight is perfect
Thanks!!!",3,2019-12-10 18:30:26.607
4594,Alex your a genuis.,4,2019-12-10 18:30:15.113
4593," I do like your products and will always promote them in a positive light. ",3,2019-12-10 18:28:00.717
4592,I do enjoy working with DevExpress and their support people are A+.,3,2019-12-10 18:27:05.217
4591,I actually love DevExpress.,3,2019-12-10 18:26:45.770
4590,Thank you all guys for your hard work and first-class support!,3,2019-12-10 18:25:57.187
4589,"Sometimes we had a troubles, but awesome support guys are always ready to solve the issue or find a workaround in a short time! ",3,2019-12-10 18:25:35.143
4588,"awesome solution, you're a live saver!",4,2019-12-10 18:24:54.330
4587,I wish to thank DevExpress and especially the support team for all of the help and support they have provided though the years.,3,2019-12-10 18:24:30.880
4586,I believe that the DevExpress products are the best!,4,2019-12-10 18:24:18.303
4585,I do appreciate and thank you for all of the help and support I have received over the years from the DevExpress Support Team.,3,2019-12-10 18:23:54.917
4584,"You could improve the quality of your answer by adding in some links to relevant articles and support tickets, instead of providing a bland and unhelpful comment, showing that you don't understand anything about this control.",1,2019-12-10 18:21:13.420
4583,Works exactly as hoped.,3,2019-12-10 18:20:31.607
4582,"Perfect. ",3,2019-12-10 18:20:19.983
4581,"Once again,  thank you very much Stason.",3,2019-12-10 18:17:51.777
4580,That’s indeed really helpful.,3,2019-12-10 18:17:40.377
4579,"Nice! ",3,2019-12-10 18:17:34.330
4578,My trust for your components has been broken.,0,2019-12-10 18:16:10.547
4577,There are many problems with your solution.,1,2019-12-10 18:15:22.957
4576,Your answer is not very helpful.,1,2019-12-10 18:14:43.487
4575,"  Thank you for the excellent support and rapid response.",3,2019-12-09 19:23:03.440
4574,"That works great! ",3,2019-12-09 19:22:55.583
4573,"   THANK YOU!!! ",4,2019-12-09 19:22:41.377
4572,THANKS… that was a simple solution and it solved my issue completely,3,2019-12-09 19:21:01.123
4571,Thanks for an excellent support.,3,2019-12-09 19:20:42.057
4570,"Its always been like this with the support, you just throw back generic answers instead of actually helping…",1,2019-12-09 19:20:03.563
4569,"T590924 seems like a possibility - but is insanely cumbersome! ",1,2019-12-09 19:17:43.753
4568,And it appears you are not able to achieve this either.,1,2019-12-09 19:17:35.547
4567," Just think if the shoe was on the other foot, how would you like to be treated?",1,2019-12-09 19:16:17.177
4566,"People, you need to start taking your jobs more seriously!",1,2019-12-09 19:15:59.903
4565,"I even created a completely separate web solution that did not use web parts or SharePoint to see if there were any configuration elements created by the product that were not mentioned in the guides -  TRULY unbelievable! ",1,2019-12-09 19:15:39.897
4564," I lamented even reaching out to support because I had a hunch that the support conversation would go just as it has, with questions about my situation that were not relevant to my issue and responses that were unhelpful.",1,2019-12-09 19:14:33.040
4563,"I have to be honest here, I am really disappointed in the support I have received thus far.  ",1,2019-12-09 19:14:10.437
4562,"What a great execution, I am truely impressed with the DevExpress team;",4,2019-12-09 19:13:43.117
4561,"I end up telling the same thing over and over
and getting no where with you people.",1,2019-12-09 19:12:53.960
4560,"Random support staff have no idea
of what is going on.",1,2019-12-09 19:12:44.267
4559,"No one reads, doesn't understand simple
questions and rarely replies back with an answer that works.",1,2019-12-09 19:12:09.363
4558,"I find that your support team is lacking understanding of the
questions or quick to route to website page that is usually not
relevant instead of actually yielding support.",1,2019-12-09 19:11:48.563
4557,"As I asked before and Alisher replied with a reference that did not
answer my question.",1,2019-12-09 19:11:20.680
4556,"This is not the answer I was looking for, hope I will get better answer in future, not impressed",1,2019-12-09 19:09:31.157
4555,You have not resolved my issue yet.,1,2019-12-09 19:07:35.197
4554," Honetsly am not happy.",1,2019-12-09 19:07:14.207
4553,Your solution works a treat,3,2019-12-09 19:06:18.643
4552,"And forcing me to do things this way is just a gateway to introducing other bugs. ",1,2019-12-09 19:04:58.267
4551,"But let's call a spade a spade… this is a DX bug. ",1,2019-12-09 19:04:32.580
4550," The first two options relating to EnableHierarchyRecreation or disabling the ViewState WILL NOT WORK if you are manipulating the Theme of the popup (as we do).",1,2019-12-09 19:04:21.387
4549," DX's advise above is NOT correct under all conditions.",1,2019-12-09 19:04:05.683
4548,"I think you have a few problems here … and you know, when your customers tell you this … perhaps you should listen.",1,2019-12-09 19:03:20.437
4547,Also I agree about you regurgitating answers without being specific in your responses,1,2019-12-09 19:02:56.463
4546,"About the support, you (the devextreme support) copy/paste all the time the same links but without real answer, it's the equivalent of ""read the documentation"" but no answer about the problematic.",1,2019-12-09 19:01:51.920
4545,"So I know my acknowledge is not enough it would be nice to have the two lines of code from support, but I think devexpress rather types ten lines to tell I can find it in the helpfiles",1,2019-12-09 18:59:38.017
4544,I'm supposed to evaluate your asp.net MVC extension before maybe buying 5 licences and I must say that I'm a little bit disappointed :-),1,2019-12-09 18:58:40.253
4543,Thank you so much for the offer!,3,2019-12-09 18:57:55.407
4542,"Thanks so much for all the detailed explanations! ",3,2019-12-09 18:57:36.507
4541,"Thanks Sergi,  I would have been lost without your help",4,2019-12-09 18:56:49.360
4540,"Thanks Sergi, works great.",3,2019-12-09 18:56:39.023
4539,That's exactly what I was looking for!,3,2019-12-09 18:56:25.327
4538,"I recommended your product to some of my colleagues and they have bought it.
although it is not a big volume, but I will help you as good as I can.",3,2019-12-09 18:54:41.207
4537,Devexpress support is always the best.,4,2019-12-09 18:54:18.183
4536,I don't know what to say. but thank you!,3,2019-12-09 18:54:10.667
4535,"It is great, good job!",3,2019-12-09 18:53:39.353
4534,"First of all, thank you for the opportunity to show my case to you.",3,2019-12-09 18:53:23.890
4533,Send my really thanks to the developer Team.,3,2019-12-09 18:52:56.560
4532," What a development, It is what I was waiting for",3,2019-12-09 18:52:46.703
4531,"Oh my god! ",4,2019-12-09 18:52:38.863
4530,"Dmitry had asked for my feedback regarding obstacles to learning your components, and I was providing said feedback, so I am disappointed that you are the one who decided to respond.",1,2019-12-09 18:51:39.600
4529," In 98% of the cases, the documentation isn't actually answering the question and has already been consulted.",1,2019-12-09 18:50:11.837
4528,"While I appreciate the support option, it is infuriatingly slow, and seems created to slow down resolution. ",1,2019-12-09 18:49:47.070
4527,"The problem is, your tutorials are of course not going to match exactly what I am trying to accomplish.",1,2019-12-09 18:49:28.950
4526," What you describe as ""Not Expected"" is to me just plain wrong and makes this new feature unusable.",1,2019-12-09 18:47:53.723
4525,"However I have to say that these issues are very obvious and should have been picked up in development never mind testing. ",1,2019-12-09 18:47:44.097
4524,I have to say I am disappointed in the implementation I have seen so far for this excellent new feature.,1,2019-12-09 18:45:42.147
4523,"First, thanks again for your effort and the example project.",3,2019-12-09 18:45:00.847
4522,DE (and especially you) ist the best company I know regarding support!,4,2019-12-09 18:44:52.000
4520,"John,   THANK YOU .  ",4,2019-12-09 18:40:33.433
